URL,Size(Bytes),#Outlinks,Type
https://www.nytimes.com/sitemap/1976/06/,82155,63,text/html
https://www.nytimes.com/sitemap/1976/08/,82585,64,text/html
https://www.nytimes.com/sitemap/1976/12/,82660,64,text/html
https://www.nytimes.com/sitemap/1976/02/,81927,62,text/html
https://www.nytimes.com/sitemap/1976/04/,82185,63,text/html
https://www.nytimes.com/sitemap/1976/11/,82300,63,text/html
https://www.nytimes.com/sitemap/1976/05/,82480,64,text/html
https://www.nytimes.com/sitemap/1976/07/,82517,64,text/html
https://www.nytimes.com/sitemap/1976/01/,82622,64,text/html
https://www.nytimes.com/sitemap/1976/03/,82554,64,text/html
https://www.nytimes.com/sitemap/1872/06/,82155,63,text/html
https://www.nytimes.com/sitemap/1872/04/,82191,63,text/html
https://www.nytimes.com/sitemap/1872/08/,82591,64,text/html
https://www.nytimes.com/sitemap/1872/03/,82554,64,text/html
https://www.nytimes.com/sitemap/1872/11/,82294,63,text/html
https://www.nytimes.com/sitemap/1872/01/,82622,64,text/html
https://www.nytimes.com/sitemap/1872/07/,82511,64,text/html
https://www.nytimes.com/sitemap/1872/05/,82480,64,text/html
https://www.nytimes.com/sitemap/1872/09/,82329,63,text/html
https://www.nytimes.com/sitemap/1872/10/,82629,64,text/html
https://www.nytimes.com/sitemap/1872/02/,81933,62,text/html
https://www.nytimes.com/sitemap/1872/12/,82660,64,text/html
https://www.nytimes.com/sitemap/1967/06/,82155,63,text/html
https://www.nytimes.com/sitemap/1967/04/,82191,63,text/html
https://www.nytimes.com/sitemap/1967/08/,82585,64,text/html
https://www.nytimes.com/sitemap/1967/12/,82660,64,text/html
https://www.nytimes.com/sitemap/1967/02/,81561,61,text/html
https://www.nytimes.com/sitemap/1967/10/,82629,64,text/html
https://www.nytimes.com/sitemap/1967/05/,82474,64,text/html
https://www.nytimes.com/sitemap/1967/03/,82554,64,text/html
https://www.nytimes.com/sitemap/1967/09/,82329,63,text/html
https://www.nytimes.com/sitemap/1967/07/,82517,64,text/html
https://www.nytimes.com/sitemap/1967/01/,82622,64,text/html
